description,department
water supply stopped suddenly in our locality,Water Supply
electricity bill issue for my house,Electricity
pipeline leaking on the highway,Water Supply
need help with civic issue in our street,General
noise complaint violent situation near the school,Police
water shortage in our neighborhood,Water Supply
no speed breaker near the bus stop,Traffic
illegal activity happening near our gate,Police
light pole fell on service road,Electricity
light pole fell on the bypass,Electricity
electric pole is damaged on the lane,Electricity
stalking by unknown person in our neighborhood,Police
sanitation problem in our ward since since morning,Municipal
suspicious person roaming in our locality,Police
water tanker not arrived in our locality,Water Supply
water not coming from tap at our apartment since since yesterday,Water Supply
harassment by neighbor in our neighborhood,Police
inverter not charging due to no power in our office,Electricity
fuse blown in our ward,Electricity
water tank not filled in our locality for 5 hours,Water Supply
mobile stolen from our shop,Police
drain blocked near the school,Municipal
water not coming from tap at our office since a week,Water Supply
drunk person creating nuisance near the bus stop,Police
road divider broken near the bus stop,Traffic
water not coming from tap at our shop since 3 days,Water Supply
water contamination in our area,Water Supply
electricity bill fault for our shop,Electricity
someone threatening my wife in our block,Police
bus stop damaged near the park,Traffic
molestation complaint near the junction,Police
theft of mobile in our colony,Police
stalking by unknown person in our ward,Police
street light failure near the junction,Electricity
grievance from our colony,General
drain overflow causing waterlogging on the lane,Municipal
power fluctuation damaging appliances in my house,Electricity
illegal parking blocking the highway,Traffic
water problem at our office,Water Supply
voltage cut at our office,Electricity
water not coming from tap at my house since 2 days,Water Supply
water not coming from tap at our building since 3 days,Water Supply
power not working in our our colony,Electricity
light is not coming in our shop,Electricity
garbage truck not coming to our neighborhood,Municipal
water supply stopped suddenly in our colony,Water Supply
footpath broken on our street,Traffic
transformer issue in our our locality,Electricity
dead animal lying on the bypass not removed,Municipal
litter everywhere on main road,Municipal
water tank not filled in our ward for since last night,Water Supply
power cut since since morning,Electricity
water supply irregular in our area,Water Supply
burglary at house in our street,Police
road accident spot needs attention at the market,Traffic
sweeper not cleaning the bypass,Municipal
voltage issue at our apartment,Electricity
no water supply in our colony since 3 days,Water Supply
waste dumped illegally near the school,Municipal
garbage smell unbearable in our colony,Municipal
no sanitation workers coming to our street,Municipal
miscellaneous issue in our neighborhood,General
complaint regarding our colony,General
sanitation problem in our locality since 5 hours,Municipal
cleanliness issue in our area,Municipal
fight broke out near the market,Police
drainage water flooding the bypass,Municipal
muddy water from tap at our office,Water Supply
water tanker not arrived in our block,Water Supply
signal not changing at our gate,Traffic
fuse blown in our block,Electricity
water tanker not arrived in our area,Water Supply
water meter broken at our building,Water Supply
robbery happened at my house last night,Police
waste dumped illegally near the signal,Municipal
sewage line choked in our neighborhood,Municipal
signal not changing at the school,Traffic
live wire is lying on main road,Electricity
no power supply for since last night,Electricity
drug dealing happening in our area,Police
someone attacked me near the park,Police
tap water smells bad at my house,Water Supply
transformer issue in our our area,Electricity
light is not coming in our flat,Electricity
water supply cut without notice in our area,Water Supply
stalking by unknown person in our block,Police
the bypass very dirty no cleaning done,Municipal
water supply stopped suddenly in our neighborhood,Water Supply
flyover lights not working near the market,Traffic
electric pole is damaged on main road,Electricity
unresolved issue in our locality,General
no traffic police at our gate,Traffic
no water supply in our neighborhood since a week,Water Supply
no water supply in our ward since 2 days,Water Supply
cleanliness issue in our block,Municipal
someone threatening my children in our block,Police
construction waste dumped on the highway,Municipal
electricity disruption in my our building,Electricity
yellow water from tap in my house,Water Supply
fight erupted out near the junction,Police
live wire is lying on our road,Electricity
water tank not filled in our ward for 5 hours,Water Supply
street lamp flickering at night near the junction,Electricity
footpath broken on main road,Traffic
theft of gold chain in our area,Police
drain overflow causing waterlogging on service road,Municipal
bike stolen from our apartment,Police
water logging due to pipeline overflow on service road,Water Supply
sanitation problem in our colony since a week,Municipal
garbage not collected in our block for since last night,Municipal
no electricity in our flat since since morning,Electricity
unresolved issue in our street,General
short circuit broke out near our building,Electricity
water pipeline broken underground near the signal,Water Supply
road divider broken near the park,Traffic
borewell not working in our ward,Water Supply
need help with civic issue in our colony,General
voltage disruption at my house,Electricity
mobile stolen from our flat,Police
electric pole is leaning dangerously on our road,Electricity
drain blocked near the park,Municipal
no traffic police at the bus stop,Traffic
requesting attention for our colony,General
flyover lights not working near the school,Traffic
water meter broken at our apartment,Water Supply
domestic violence complaint in our block,Police
waste burning near houses in our street,Municipal
road needs repair near our gate,Traffic
car broken into near the market,Police
fight broke out out near the park,Police
road needs repair near the park,Traffic
missing road signboard near the junction,Traffic
electricity disruption in my our flat,Electricity
waste burning near houses in our locality,Municipal
electricity bill fault for my house,Electricity
street light failure near the market,Electricity
water shortage in our ward,Water Supply
drug dealing happening in our colony,Police
sewage line choked in our block,Municipal
illegal activity happening near the school,Police
no water supply in our neighborhood since 3 days,Water Supply
pipeline leaking on service road,Water Supply
construction blocking traffic on our street,Traffic
road needs repair near the temple,Traffic
litter everywhere on our street,Municipal
transformer not working in our our colony,Electricity
someone threatening my children in our ward,Police
construction waste dumped on service road,Municipal
no water supply in our area since since morning,Water Supply
road caved in due to rain on the bypass,Traffic
water meter broken at my house,Water Supply
garbage heap near the bus stop,Municipal
electricity bill fault for our building,Electricity
traffic signal not working at the park,Traffic
garbage not collected in our street for a week,Municipal
open drain causing issues near the junction,Municipal
muddy water from tap at our flat,Water Supply
someone threatening my children in our neighborhood,Police
road encroachment by vendors on the highway,Traffic
no water supply in our neighborhood since since last night,Water Supply
water pipe burst on service road,Water Supply
sewage overflow on our street,Municipal
assault complaint near the temple,Police
requesting attention for our locality,General
live wire is lying on the bypass,Electricity
water tank not filled in our locality for 3 days,Water Supply
illegal activity happening near the temple,Police
water pipe burst on the highway,Water Supply
live wire is lying on the lane,Electricity
live wire fell and lying on the highway,Electricity
no electricity in our shop since 2 days,Electricity
water tanker not arrived in our street,Water Supply
power fluctuation damaging appliances in our apartment,Electricity
garbage not collected in our street for since morning,Municipal
footpath broken on the lane,Traffic
power not working in our our street,Electricity
service road very dirty no cleaning done,Municipal
water not coming from tap at our apartment since 2 days,Water Supply
complaint regarding our ward,General
miscellaneous issue in our ward,General
public toilet very dirty near the bus stop,Municipal
dirty water coming from tap at our shop,Water Supply
fuse blown in our colony,Electricity
public disorder near the bus stop,Police
harassment by neighbor in our area,Police
open drain causing issues near our gate,Municipal
missing road signboard near the market,Traffic
road caved in due to rain on the lane,Traffic
electric meter issue at our shop,Electricity
inverter not charging due to no power in our shop,Electricity
road marking faded on the bypass,Traffic
road damage due to rain on our street,Traffic
water not coming from tap at my house since since yesterday,Water Supply
pothole causing accidents on our road,Traffic
drug dealing happening in our locality,Police
harassment by neighbor in our colony,Police
public toilet very dirty near our gate,Municipal
waste burning near houses in our colony,Municipal
violence happening at night near the school,Police
illegal gambling in our locality,Police
bike stolen from our office,Police
public nuisance in our neighborhood,General
sanitation problem in our street since since yesterday,Municipal
need help with civic issue in our area,General
requesting attention for our street,General
no piped water connection in our locality,Water Supply
road divider broken near the junction,Traffic
illegal parking blocking main road,Traffic
traffic signal not working at the bus stop,Traffic
road marking faded on the highway,Traffic
public disorder near the temple,Police
no streetlight causing accidents on service road at night,Traffic
no streetlight causing accidents on the lane at night,Traffic
construction blocking traffic on the lane,Traffic
short circuit happened near our shop,Electricity
water supply irregular in our locality,Water Supply
biomedical waste dumped openly near the bus stop,Municipal
traffic signal not working at the school,Traffic
wrong side driving on the bypass,Traffic
fight erupted out near the school,Police
power outage in our our locality,Electricity
autos blocking the highway,Traffic
theft of bike in our neighborhood,Police
theft of wallet in our area,Police
violence happening at night near our gate,Police
civic problem in our area,General
chain snatching near the park,Police
noise complaint violent situation near the market,Police
mobile stolen from my house,Police
open drain causing issues near the park,Municipal
borewell not working in our block,Water Supply
cleanliness issue in our locality,Municipal
power issue in our our colony,Electricity
water pipe burst on the lane,Water Supply
no piped water connection in our colony,Water Supply
dirty water coming from tap at our building,Water Supply
garbage truck not coming to our colony,Municipal
fight broke out near the bus stop,Police
underground cable exposed near the market,Electricity
extortion threat received in our street,Police
no water supply in our colony since a week,Water Supply
no dustbin provided in our colony,Municipal
construction blocking traffic on the highway,Traffic
no water supply in our street since since morning,Water Supply
garbage not collected in our area for a week,Municipal
road accident spot needs attention at the junction,Traffic
litter everywhere on service road,Municipal
chain snatching near the temple,Police
water meter broken at our shop,Water Supply
electric meter not working at my house,Electricity
voltage not working at our office,Electricity
illegal parking blocking our road,Traffic
biomedical waste dumped openly near the park,Municipal
bus stop damaged near the market,Traffic
electric shock from switchboard in our office,Electricity
garbage not collected in our ward for since last night,Municipal
suspicious person roaming in our block,Police
general complaint about our ward,General
fight broke out out near the market,Police
public disorder near the junction,Police
water tank not filled in our block for since yesterday,Water Supply
no drinking water available in our ward,Water Supply
chain snatching near the school,Police
electricity problem in my our building,Electricity
pothole causing accidents on the highway,Traffic
cleanliness issue in our street,Municipal
bus stop damaged near the junction,Traffic
water leakage wasting water on our road,Water Supply
illegal parking blocking our street,Traffic
manhole open and dangerous on the bypass,Municipal
traffic signal not working at the market,Traffic
cleanliness issue in our ward,Municipal
no water supply in our locality since since yesterday,Water Supply
road accident spot needs attention at the park,Traffic
traffic jam on our street,Traffic
garbage not collected in our ward for a week,Municipal
short circuit happened near our office,Electricity
electric pole fell down on the lane,Electricity
electricity failure in my my house,Electricity
theft of gold chain in our street,Police
public toilet very dirty near the market,Municipal
garbage bin overflowing near the bus stop,Municipal
chain snatching near the bus stop,Police
violence happening at night near the temple,Police
no dustbin provided in our ward,Municipal
fight broke out near the signal,Police
main road very dirty no cleaning done,Municipal
water pipeline broken underground near the junction,Water Supply
public nuisance in our block,General
drain overflow causing waterlogging on our street,Municipal
water tank not filled in our area for since yesterday,Water Supply
no sanitation workers coming to our neighborhood,Municipal
electricity outage in my our flat,Electricity
underground cable exposed near the junction,Electricity
water shortage in our street,Water Supply
tap is dry no water coming at our office,Water Supply
illegal activity happening near the signal,Police
no water supply in our block since since yesterday,Water Supply
biomedical waste dumped openly near the junction,Municipal
road divider broken near the school,Traffic
scooter stolen from our flat,Police
electricity bill not working for our office,Electricity
garbage not collected in our street for 3 days,Municipal
violence happening at night near the market,Police
no electricity in our apartment since since yesterday,Electricity
sewage line choked in our locality,Municipal
water not coming from tap at my house since 3 days,Water Supply
road is dangerous due to potholes on the lane,Traffic
sanitation problem in our area since a week,Municipal
sewage overflow on the bypass,Municipal
road encroachment by vendors on our street,Traffic
water logging due to pipeline overflow on our street,Water Supply
fuse blown in our area,Electricity
electricity fault in my our flat,Electricity
no water pressure at our flat,Water Supply
robbery happened at our apartment an hour ago,Police
road caved in due to rain on our road,Traffic
road marking faded on the lane,Traffic
public toilet very dirty near the signal,Municipal
extortion threat received in our locality,Police
garbage bin overflowing near the park,Municipal
road is dangerous due to potholes on service road,Traffic
someone hit me near the temple,Police
road marking faded on service road,Traffic
current is not there since 2 days,Electricity
eve teasing happening on our street,Police
car broken into near the junction,Police
electric shock from switchboard in our flat,Electricity
road divider broken near the temple,Traffic
electric meter broken at our office,Electricity
water pipeline broken underground near the school,Water Supply
open drain causing issues near the market,Municipal
construction waste dumped on our street,Municipal
garbage heap near the junction,Municipal
stalking by unknown person in our locality,Police
power cut since a week,Electricity
sewage line choked in our area,Municipal
sanitation problem in our ward since 3 days,Municipal
street light not working near the market,Electricity
water supply irregular in our colony,Water Supply
garbage smell unbearable in our ward,Municipal
flyover lights not working near the signal,Traffic
transformer fault in our our ward,Electricity
flyover lights not working near the junction,Traffic
drainage water flooding the highway,Municipal
street light fault near the bus stop,Electricity
voltage outage at our apartment,Electricity
fight broke out out near the junction,Police
no dustbin provided in our street,Municipal
public toilet very dirty near the park,Municipal
electric shock from switchboard in our apartment,Electricity
new electricity connection needed at our shop,Electricity
voltage fault at my house,Electricity
sewage line choked in our colony,Municipal
no light in our our street at night,Electricity
garbage smell unbearable in our neighborhood,Municipal
garbage bin overflowing near the market,Municipal
assault complaint near our gate,Police
new electricity connection needed at my house,Electricity
no light in our our colony at night,Electricity
suspicious person roaming in our neighborhood,Police
open drain causing issues near the school,Municipal
drunk person creating nuisance near the junction,Police
sanitation problem in our area since since last night,Municipal
theft of car in our street,Police
tap water smells bad at our shop,Water Supply
light pole fell on our street,Electricity
no electricity in our apartment since 2 days,Electricity
electric pole fell down on the highway,Electricity
sweeper not cleaning service road,Municipal
eve teasing happening on the bypass,Police
water shortage in our area,Water Supply
garbage not collected in our area for 5 hours,Municipal
underground cable exposed near the temple,Electricity
water supply stopped suddenly in our street,Water Supply
no light in our our area at night,Electricity
short circuit occurred near our flat,Electricity
fuse blown in our street,Electricity
water contamination in our locality,Water Supply
no sanitation workers coming to our block,Municipal
water problem at our apartment,Water Supply
no electricity in our building since 5 hours,Electricity
traffic light broken at the bus stop,Traffic
someone threatening my children in our colony,Police
theft of bike in our ward,Police
electric pole fell down on main road,Electricity
water tank not filled in our colony for since last night,Water Supply
traffic jam on the bypass,Traffic
robbery happened at our building this morning,Police
no drinking water available in our colony,Water Supply
traffic jam on main road,Traffic
burglary at house in our area,Police
unresolved issue in our block,General
inverter not charging due to no power in my house,Electricity
dead animal lying on the lane not removed,Municipal
missing road signboard near the park,Traffic
requesting attention for our ward,General
current is not there since a week,Electricity
miscellaneous issue in our block,General
public disorder near the park,Police
water supply cut without notice in our street,Water Supply
fight broke out near the park,Police
road divider broken near the market,Traffic
no water supply in our ward since 5 hours,Water Supply
road needs repair near the junction,Traffic
water pipe burst on our road,Water Supply
extortion threat received in our block,Police
suspicious person roaming in our colony,Police
light is not coming in our building,Electricity
no speed breaker near our gate,Traffic
sweeper not cleaning the lane,Municipal
vandalism on main road,Police
street lamp flickering at night near the signal,Electricity
manhole open and dangerous on the highway,Municipal
underground cable exposed near our gate,Electricity
complaint regarding our locality,General
current is not there since 3 days,Electricity
street light broken near the school,Electricity
road accident spot needs attention at the signal,Traffic
something wrong in our block,General
street light not working near the signal,Electricity
manhole open and dangerous on main road,Municipal
power cut since 2 days,Electricity
garbage not collected in our block for 3 days,Municipal
drainage water flooding our street,Municipal
water tank not filled in our street for 3 days,Water Supply
construction blocking traffic on main road,Traffic
wrong side driving on the highway,Traffic
road encroachment by vendors on the lane,Traffic
no dustbin provided in our block,Municipal
complaint regarding our block,General
garbage not collected in our street for since last night,Municipal
garbage not collected in our area for since last night,Municipal
no water supply in our colony since since morning,Water Supply
sweeper not cleaning main road,Municipal
no traffic police at the school,Traffic
molestation complaint near our gate,Police
theft of car in our colony,Police
water pipeline broken underground near our gate,Water Supply
power cut since 5 hours,Electricity
no zebra crossing on our street,Traffic
drainage water flooding the lane,Municipal
something wrong in our neighborhood,General
domestic violence complaint in our ward,Police
water not coming from tap at our flat since 5 hours,Water Supply
wires hanging dangerously near our gate,Electricity
no sanitation workers coming to our locality,Municipal
no piped water connection in our street,Water Supply
underground cable exposed near the park,Electricity
wrong side driving on the lane,Traffic
electric pole is leaning dangerously on the highway,Electricity
public toilet very dirty near the junction,Municipal
garbage smell unbearable in our locality,Municipal
general complaint about our street,General
no water supply in our block since since morning,Water Supply
water pipeline broken underground near the market,Water Supply
traffic jam on service road,Traffic
street lamp flickering at night near our gate,Electricity
someone threatening my husband in our locality,Police
drug dealing happening in our street,Police
no speed breaker near the temple,Traffic
water pipe burst on the bypass,Water Supply
water leakage wasting water on service road,Water Supply
sanitation problem in our neighborhood since since last night,Municipal
water contamination in our block,Water Supply
live wire fell and lying on main road,Electricity
general complaint about our block,General
short circuit occurred near our shop,Electricity
dead animal lying on service road not removed,Municipal
no traffic police at the park,Traffic
garbage truck not coming to our area,Municipal
road is dangerous due to potholes on our street,Traffic
water logging due to pipeline overflow on the highway,Water Supply
someone assaulted me near our gate,Police
voltage cut at our apartment,Electricity
road needs repair near the market,Traffic
garbage truck not coming to our street,Municipal
robbery happened at our office 2 days ago,Police
road caved in due to rain on service road,Traffic
road damage due to rain on service road,Traffic
drain overflow causing waterlogging on our road,Municipal
someone assaulted me near the bus stop,Police
no piped water connection in our neighborhood,Water Supply
autos blocking our street,Traffic
violence happening at night near the park,Police
road accident spot needs attention at the bus stop,Traffic
garbage not collected in our locality for since last night,Municipal
tap is dry no water coming at our shop,Water Supply
no water supply in our area since a week,Water Supply
drainage water flooding main road,Municipal
yellow water from tap in our shop,Water Supply
drain overflow causing waterlogging on main road,Municipal
light pole fell on main road,Electricity
sewage line choked in our street,Municipal
electricity fault in my our apartment,Electricity
no dustbin provided in our area,Municipal
bus stop damaged near the bus stop,Traffic
drain blocked near the junction,Municipal
molestation complaint near the signal,Police
pipeline leaking on our street,Water Supply
electricity bill failure for our shop,Electricity
garbage heap near the school,Municipal
noise complaint violent situation near the junction,Police
yellow water from tap in our flat,Water Supply
street lamp flickering at night near the bus stop,Electricity
unresolved issue in our neighborhood,General
water leakage wasting water on the lane,Water Supply
no dustbin provided in our neighborhood,Municipal
traffic light broken at the temple,Traffic
footpath broken on the bypass,Traffic
water contamination in our neighborhood,Water Supply
someone threatening my family in our street,Police
water supply cut without notice in our colony,Water Supply
garbage bin overflowing near the temple,Municipal
pothole causing accidents on our street,Traffic
water tanker not arrived in our ward,Water Supply
no water pressure at our building,Water Supply
water tank not filled in our block for since last night,Water Supply
street lamp flickering at night near the market,Electricity
no streetlight causing accidents on main road at night,Traffic
traffic light broken at the market,Traffic
miscellaneous issue in our street,General
electricity cut in my our shop,Electricity
someone hit me near the park,Police
no water supply in our block since a week,Water Supply
no drinking water available in our street,Water Supply
no electricity in our apartment since since morning,Electricity
traffic signal not working at the junction,Traffic
street light fault near the junction,Electricity
traffic light broken at the junction,Traffic
tap is dry no water coming at our building,Water Supply
dead animal lying on our road not removed,Municipal
no traffic police at the junction,Traffic
tap is dry no water coming at our flat,Water Supply
traffic jam on the highway,Traffic
no water supply in our locality since a week,Water Supply
garbage not collected in our street for 5 hours,Municipal
road damage due to rain on our road,Traffic
someone hit me near the school,Police
power problem in our our neighborhood,Electricity
short circuit occurred near our apartment,Electricity
road damage due to rain on the bypass,Traffic
robbery happened at our flat an hour ago,Police
wires hanging dangerously near the market,Electricity
pipeline leaking on the lane,Water Supply
no piped water connection in our block,Water Supply
need help with civic issue in our ward,General
molestation complaint near the market,Police
signal not changing at the junction,Traffic
fuse blown in our locality,Electricity
tap water smells bad at our building,Water Supply
sanitation problem in our street since 5 hours,Municipal
electricity cut in my our apartment,Electricity
electric shock from switchboard in our building,Electricity
road caved in due to rain on the highway,Traffic
no water pressure at my house,Water Supply
stalking by unknown person in our street,Police
biomedical waste dumped openly near the market,Municipal
pipeline leaking on main road,Water Supply
robbery happened at our shop this morning,Police
borewell not working in our street,Water Supply
vandalism on our street,Police
theft of car in our area,Police
waste burning near houses in our area,Municipal
litter everywhere on the lane,Municipal
chain snatching near the signal,Police
road divider broken near our gate,Traffic
cleanliness issue in our colony,Municipal
vandalism on our road,Police
no traffic police at the market,Traffic
flyover lights not working near the park,Traffic
borewell not working in our colony,Water Supply
electric pole is damaged on our street,Electricity
no zebra crossing on our road,Traffic
water contamination in our street,Water Supply
water pipeline broken underground near the bus stop,Water Supply
power fluctuation destroying appliances in my house,Electricity
water tank not filled in our area for since morning,Water Supply
dirty water coming from tap at our apartment,Water Supply
sewage overflow on the lane,Municipal
pipeline leaking on the bypass,Water Supply
noise complaint violent situation near the signal,Police
autos blocking main road,Traffic
illegal parking blocking service road,Traffic
eve teasing happening on service road,Police
sanitation problem in our ward since 2 days,Municipal
water logging due to pipeline overflow on our road,Water Supply
grievance from our block,General
road encroachment by vendors on main road,Traffic
pothole causing accidents on main road,Traffic
electricity bill issue for our flat,Electricity
drug dealing happening in our block,Police
someone hit me near the market,Police
drain blocked near the signal,Municipal
dead animal lying on the highway not removed,Municipal
eve teasing happening on the highway,Police
road divider broken near the signal,Traffic
water problem at my house,Water Supply
electric pole is leaning dangerously on the bypass,Electricity
someone threatening my husband in our colony,Police
manhole open and dangerous on our road,Municipal
no water pressure at our office,Water Supply
litter everywhere on the highway,Municipal
garbage not collected in our locality for since morning,Municipal
autos blocking our road,Traffic
wallet stolen from our office,Police
waste burning near houses in our neighborhood,Municipal
molestation complaint near the school,Police
water contamination in our colony,Water Supply
road encroachment by vendors on our road,Traffic
transformer broken in our our area,Electricity
no speed breaker near the junction,Traffic
bus stop damaged near the temple,Traffic
street lamp flickering at night near the park,Electricity
water not coming from tap at our building since a week,Water Supply
electricity fault in my our shop,Electricity
something wrong in our ward,General
transformer fault in our our neighborhood,Electricity
transformer problem in our our neighborhood,Electricity
muddy water from tap at our building,Water Supply
drainage water flooding our road,Municipal
robbery happened at my house 2 days ago,Police
burglary at house in our block,Police
sewage overflow on the highway,Municipal
manhole open and dangerous on the lane,Municipal
no water pressure at our apartment,Water Supply
extortion threat received in our neighborhood,Police
wires hanging dangerously near the junction,Electricity
garbage bin overflowing near our gate,Municipal
car stolen from our flat,Police
bus stop damaged near the signal,Traffic
road accident spot needs attention at the temple,Traffic
theft of car in our block,Police
flyover lights not working near the temple,Traffic
garbage not collected in our block for a week,Municipal
wires hanging dangerously near the signal,Electricity
water not coming from tap at our flat since 3 days,Water Supply
suspicious person roaming in our street,Police
construction blocking traffic on service road,Traffic
noise complaint violent situation near the bus stop,Police
unresolved issue in our ward,General
light is not coming in our apartment,Electricity
garbage smell unbearable in our street,Municipal
live wire fell and lying on the lane,Electricity
no zebra crossing on the lane,Traffic
street light broken near the signal,Electricity
footpath broken on the highway,Traffic
water not coming from tap at our shop since 5 hours,Water Supply
domestic violence complaint in our neighborhood,Police
someone attacked me near the junction,Police
water supply stopped suddenly in our ward,Water Supply
water shortage in our block,Water Supply
no streetlight causing accidents on our road at night,Traffic
biomedical waste dumped openly near the signal,Municipal
garbage not collected in our neighborhood for 5 hours,Municipal
dead animal lying on main road not removed,Municipal
signal not changing at the market,Traffic
no traffic police at the signal,Traffic
water leakage wasting water on the bypass,Water Supply
signal not changing at the park,Traffic
pothole causing accidents on the bypass,Traffic
street lamp flickering at night near the school,Electricity
garbage not collected in our locality for since yesterday,Municipal
water supply stopped suddenly in our area,Water Supply
no sanitation workers coming to our ward,Municipal
construction blocking traffic on our road,Traffic
road damage due to rain on the highway,Traffic
water tank not filled in our colony for a week,Water Supply
power fluctuation affecting appliances in our shop,Electricity
road is dangerous due to potholes on our road,Traffic
dead animal lying on our street not removed,Municipal
theft of mobile in our ward,Police
no power supply for a week,Electricity
tap is dry no water coming at our apartment,Water Supply
robbery happened at our shop 2 days ago,Police
illegal parking blocking the lane,Traffic
muddy water from tap at our shop,Water Supply
traffic signal not working at the signal,Traffic
garbage heap near the temple,Municipal
